location,area,price,price_currency,status,new/resale,price_negotiable,description,security_deposit,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Rain Water Harvesting,Intercom,Car Parking,Vaastu Compliant,Indoor Games,Multipurpose Room,Staff Quarter,Cafeteria,School,Maintenance Staff,Shopping Mall,Golf Course,ATM,Hospital
Mundhwa,2100,19000000,INR,,1,0,The house is semi-furnished. It is facing east direction. This residential complex is under-construction as of now. The expected completion date is 30/06/2026. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ,1,east,0,0,1,1,0,1,1,1,1,1,1,0,8.6,,20.0,,1.0,,,,,,,,,,,,
Baner,5600,55000000,INR,1,0,0,"It’s a 5 bhk builder floor situated in Baner, Pune. It has a salable area of 5600 sqft and is available at a price of Rs. 9,821 per sqft. The house is furnished. It has 1 tv, 1 refrigerator, 1 sofa and 1 washing machine. It also has 1 microwave, 1 dining table, 1 gas connection, 1 ac and 1 bed. It has club house. Other amenities include lift available, gymnasium and power backup. Its main door is facing east direction. It is a ready-to-move-in property. It is well connected to the city areas. Contact us for more details. ",1,east,1,0,1,1,0,1,1,1,0,0,0,0,9.1,,,,1.0,,,,,,,,,,,,
Keshav Nagar,1180,7900000,INR,,1,0,"This spacious 3 bhk builder floor is available for sale and is located in the heart of Keshav Nagar. It has a built-up area of 1180 sqft and is priced at Rs. 79.00 lac . The house is unfurnished. It is east facing property. It is an under-construction property . The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,0,0,,,,,1.0,,,,,,,,,,,,
Lohegaon,600,2700000,INR,,1,0,"It has a salable area of 600 sqft and is available at a price of Rs. 4,500 per sqft. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Please contact for more details. ",1,east,0,0,1,1,0,1,1,1,1,1,0,0,8.0,,,,,,,,,,,,,,,,
Baner,520,5100000,INR,1,0,0,"A spacious 1 bhk builder floor is available for sale in Baner, Pune. It has a built-up area of 520 sqft and is priced at Rs. 51.00 lac . The house is unfurnished. Its main door is facing west direction. It is a ready-to-move-in property. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. Kindly call us for details. ",1,west,0,0,1,0,0,0,0,0,0,0,0,0,9.1,,,,,,,,,,,,,,,,
Ambegaon Budruk,2700,24900000,INR,,0,0,"This spacious 3 bhk builder floor is available for sale and is located in B K Chavan Shree Krupa Shrushti, one of the most prestigious projects of Ambegaon Budruk. It has a built-up area of 2700 sqft and is priced at Rs. 2.49 cr . It is a furnished property. It has 1 sofa, 1 sofa, 1 dining table and 1 bed. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. ",1,east,1,11,1,1,0,1,1,1,1,1,0,0,8.1,7.3,33.0,,1.0,,,,,,,,,,,,
Bavdhan,2733,20000000,INR,,1,0,"The floor plan of Padmavati Hills is spaciously designed with utmost perfection and keeping in mind the modern lifestyle of occupants. Padmavati Hills flats are bestowed with wide range of amenities and facilities that will uplift your standard of living. Few of them are listed below
For relaxation, there are facilities like landscaped garden, infinity pool, meditation hall, kids? play area and senior citizen's park provided.
Recreational facilities like Clubhouse, Central Garden, Party Lawn, Amphitheatre and Multipurpose Hall is provided for indoor games, reading and music.
Sports facilities like play ground, basketball/ tennis court and jogging/ cycling track are available.
Ample space for parking in the form of covered parking is allotted.

The specifications of this project include vitrified flooring, branded fittings, modular switches and decorative main entrance door. In the master bedrooms, there is provision for split AC appointed. The living and master bedroom are well featured with TV and telephone point. Also, uninterrupted flow of power supply is provided as wiring for inverter is provided . Padmavati Hills brochure is available on the website and will guide you with this project.

Padmavati Hills, Bavdhan, Pune is well linked to Kothrud that is hardly 5 minutes away. Also, it has Paud road and arterial Karve road in close proximity. Ryan International School and many other reputed schools are in vicinity.
 More About This Property 4 BHK Independent Floor for sale in Bavdhan, Pune - contact now, for details about the most coveted property. This 4 BHK unit is available in Bavdhan and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Bavdhan. It is on floor 4. The total number of floors is 12. The price of this Independent Floor is Rs 2.0 Cr. It is a good, spacious Independent Floor unit with carpet area of 2025 Square feet. The built-up area is 2733 Square feet. There are 4 bedrooms and 4 bathroom. The property is East-facing. This building is equipped with lift. This is a gated community. It is a thoroughly secure premise with cctv facility. Other facilities include provisions for Gym, Garden, Sports Facility, Swimming Pool, Intercom, Clubhouse, Community Hall. This property also enjoys power backup facility. Regular water supply is available. A dedicated kids area is also available. This property is at a walking distance from Varad Hospital, Omkar General Hospital, and Om Hospital. The city's best schools such as Ryan International School, Ryan International, and Periwinkle English Medium School are near your residential property",1,east,0,0,1,1,1,1,1,1,1,1,1,0,8.1,,123.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,
Aundh,7880,120000000,INR,,0,0,It has an area of 7880 sqft with a carpet area of 6500 sqft . The property is available at a price of Rs. 12.00 cr . It is an unfurnished property. It is a 7 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Kindly call us for details. ,1,east,0,7,1,1,1,1,1,1,1,1,0,0,9.7,7.4,17.0,,1.0,1.0,,,,,,,,,,,
Gahunje,988,3439000,INR,,1,0,"It’s a 2 bhk builder floor situated in Kohinoor Group Construction And Real Estate Abhimaan Homes, Gahunje. It has a built-up area of 988 sqft and is priced at Rs. 34.39 lac . The house is unfurnished. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",1,east,0,2,1,1,1,1,1,1,1,1,1,1,7.4,,39.0,1.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,,
Balewadi,2361,26437940,INR,,1,0,"A spacious 4 bhk builder floor is available for sale in Gagan Developers Klara, Balewadi, Pune. It has an area of 2361 sqft with a carpet area of 1749 sqft . The property is available at a price of Rs. 2.64 cr . It is facing east direction. This residential complex is under-construction as of now. The expected completion date is 01/09/2023. It is made in way to provide a comfortable living. If you are interested, please contact us for more details. ",1,east,0,0,1,1,1,1,1,1,1,0,1,1,8.8,,123.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,
